"","features","dataset"
"426","Cytoplasm_Texture_AngularSecondMoment_ER_5_00","bortezomib"
"427","Cytoplasm_Texture_AngularSecondMoment_Mito_20_00","bortezomib"
"428","Cytoplasm_Texture_AngularSecondMoment_Mito_5_02","bortezomib"
"429","Cytoplasm_Texture_AngularSecondMoment_RNA_20_00","bortezomib"
"430","Cytoplasm_Texture_Contrast_DNA_20_03","bortezomib"
"431","Cytoplasm_Texture_Correlation_AGP_10_01","bortezomib"
"432","Cytoplasm_Texture_Correlation_AGP_10_02","bortezomib"
"433","Cytoplasm_Texture_Correlation_AGP_10_03","bortezomib"
"434","Cytoplasm_Texture_Correlation_AGP_20_00","bortezomib"
"435","Cytoplasm_Texture_Correlation_AGP_20_01","bortezomib"
"436","Cytoplasm_Texture_Correlation_AGP_20_02","bortezomib"
"437","Cytoplasm_Texture_Correlation_AGP_20_03","bortezomib"
"438","Cytoplasm_Texture_Correlation_AGP_5_02","bortezomib"
"439","Cytoplasm_Texture_Correlation_DNA_10_00","bortezomib"
"440","Cytoplasm_Texture_Correlation_DNA_10_01","bortezomib"
"441","Cytoplasm_Texture_Correlation_DNA_10_02","bortezomib"
"442","Cytoplasm_Texture_Correlation_DNA_10_03","bortezomib"
"443","Cytoplasm_Texture_Correlation_DNA_20_00","bortezomib"
"444","Cytoplasm_Texture_Correlation_DNA_20_01","bortezomib"
"445","Cytoplasm_Texture_Correlation_DNA_20_02","bortezomib"
"446","Cytoplasm_Texture_Correlation_DNA_20_03","bortezomib"
"447","Cytoplasm_Texture_Correlation_DNA_5_00","bortezomib"
"448","Cytoplasm_Texture_Correlation_ER_20_00","bortezomib"
"449","Cytoplasm_Texture_Correlation_ER_20_01","bortezomib"
"450","Cytoplasm_Texture_Correlation_ER_20_02","bortezomib"
"451","Cytoplasm_Texture_Correlation_ER_20_03","bortezomib"
"452","Cytoplasm_Texture_Correlation_Mito_10_01","bortezomib"
"453","Cytoplasm_Texture_Correlation_Mito_10_03","bortezomib"
"454","Cytoplasm_Texture_Correlation_Mito_20_00","bortezomib"
"455","Cytoplasm_Texture_Correlation_Mito_20_01","bortezomib"
"456","Cytoplasm_Texture_Correlation_Mito_20_02","bortezomib"
"457","Cytoplasm_Texture_Correlation_Mito_20_03","bortezomib"
"458","Cytoplasm_Texture_Correlation_Mito_5_02","bortezomib"
"459","Cytoplasm_Texture_Correlation_RNA_20_00","bortezomib"
"460","Cytoplasm_Texture_Correlation_RNA_20_01","bortezomib"
"461","Cytoplasm_Texture_Correlation_RNA_20_02","bortezomib"
"462","Cytoplasm_Texture_Correlation_RNA_20_03","bortezomib"
"463","Cytoplasm_Texture_DifferenceEntropy_ER_20_03","bortezomib"
"464","Cytoplasm_Texture_DifferenceVariance_DNA_20_03","bortezomib"
"465","Cytoplasm_Texture_DifferenceVariance_ER_20_03","bortezomib"
"466","Cytoplasm_Texture_DifferenceVariance_Mito_20_01","bortezomib"
"467","Cytoplasm_Texture_Entropy_AGP_20_01","bortezomib"
"468","Cytoplasm_Texture_Entropy_ER_20_00","bortezomib"
"469","Cytoplasm_Texture_Entropy_ER_20_01","bortezomib"
"470","Cytoplasm_Texture_Entropy_Mito_20_00","bortezomib"
"471","Cytoplasm_Texture_Entropy_RNA_20_03","bortezomib"
"472","Cytoplasm_Texture_InfoMeas1_AGP_10_00","bortezomib"
"473","Cytoplasm_Texture_InfoMeas1_AGP_5_00","bortezomib"
"474","Cytoplasm_Texture_InfoMeas1_AGP_5_01","bortezomib"
"475","Cytoplasm_Texture_InfoMeas1_DNA_10_00","bortezomib"
"476","Cytoplasm_Texture_InfoMeas1_DNA_20_02","bortezomib"
"477","Cytoplasm_Texture_InfoMeas1_DNA_5_02","bortezomib"
"478","Cytoplasm_Texture_InfoMeas1_DNA_5_03","bortezomib"
"479","Cytoplasm_Texture_InfoMeas1_ER_10_00","bortezomib"
"480","Cytoplasm_Texture_InfoMeas1_ER_5_03","bortezomib"
"481","Cytoplasm_Texture_InfoMeas1_Mito_10_00","bortezomib"
"482","Cytoplasm_Texture_InfoMeas1_Mito_20_01","bortezomib"
"483","Cytoplasm_Texture_InfoMeas1_Mito_5_00","bortezomib"
"484","Cytoplasm_Texture_InfoMeas1_Mito_5_01","bortezomib"
"485","Cytoplasm_Texture_InfoMeas1_RNA_10_02","bortezomib"
"486","Cytoplasm_Texture_InfoMeas1_RNA_5_00","bortezomib"
"487","Cytoplasm_Texture_InfoMeas1_RNA_5_03","bortezomib"
"488","Cytoplasm_Texture_InfoMeas2_AGP_20_01","bortezomib"
"489","Cytoplasm_Texture_InfoMeas2_AGP_5_00","bortezomib"
"490","Cytoplasm_Texture_InfoMeas2_DNA_20_03","bortezomib"
"491","Cytoplasm_Texture_InfoMeas2_DNA_5_02","bortezomib"
"492","Cytoplasm_Texture_InfoMeas2_DNA_5_03","bortezomib"
"493","Cytoplasm_Texture_InfoMeas2_ER_5_03","bortezomib"
"494","Cytoplasm_Texture_InfoMeas2_Mito_20_01","bortezomib"
"495","Cytoplasm_Texture_InfoMeas2_Mito_5_00","bortezomib"
"496","Cytoplasm_Texture_InfoMeas2_Mito_5_01","bortezomib"
"497","Cytoplasm_Texture_InfoMeas2_RNA_5_00","bortezomib"
"498","Cytoplasm_Texture_InverseDifferenceMoment_AGP_20_01","bortezomib"
"499","Cytoplasm_Texture_InverseDifferenceMoment_DNA_10_03","bortezomib"
"500","Cytoplasm_Texture_InverseDifferenceMoment_DNA_20_03","bortezomib"
"501","Cytoplasm_Texture_InverseDifferenceMoment_ER_10_03","bortezomib"
"502","Cytoplasm_Texture_InverseDifferenceMoment_ER_20_02","bortezomib"
"503","Cytoplasm_Texture_InverseDifferenceMoment_ER_20_03","bortezomib"
"504","Cytoplasm_Texture_InverseDifferenceMoment_Mito_10_03","bortezomib"
"505","Cytoplasm_Texture_InverseDifferenceMoment_Mito_20_00","bortezomib"
"506","Cytoplasm_Texture_InverseDifferenceMoment_Mito_20_01","bortezomib"
"507","Cytoplasm_Texture_InverseDifferenceMoment_Mito_20_02","bortezomib"
"508","Cytoplasm_Texture_InverseDifferenceMoment_Mito_5_02","bortezomib"
"509","Cytoplasm_Texture_InverseDifferenceMoment_RNA_20_01","bortezomib"
"510","Cytoplasm_Texture_SumAverage_Mito_5_00","bortezomib"
"511","Cytoplasm_Texture_SumAverage_RNA_5_00","bortezomib"
"512","Cytoplasm_Texture_SumEntropy_DNA_5_02","bortezomib"
"513","Cytoplasm_Texture_SumEntropy_ER_5_00","bortezomib"
"514","Cytoplasm_Texture_SumEntropy_Mito_5_00","bortezomib"
"515","Cytoplasm_Texture_SumEntropy_RNA_5_00","bortezomib"
"516","Cytoplasm_Texture_SumVariance_DNA_5_02","bortezomib"
"517","Cytoplasm_Texture_SumVariance_ER_5_00","bortezomib"
"518","Cytoplasm_Texture_SumVariance_Mito_5_00","bortezomib"
"519","Nuclei_AreaShape_Compactness","bortezomib"
"520","Nuclei_AreaShape_Eccentricity","bortezomib"
"521","Nuclei_AreaShape_Extent","bortezomib"
"522","Nuclei_AreaShape_FormFactor","bortezomib"
"523","Nuclei_AreaShape_MaxFeretDiameter","bortezomib"
"524","Nuclei_AreaShape_MeanRadius","bortezomib"
"525","Nuclei_AreaShape_MedianRadius","bortezomib"
"526","Nuclei_AreaShape_Orientation","bortezomib"
"527","Nuclei_AreaShape_Solidity","bortezomib"
"528","Nuclei_AreaShape_Zernike_0_0","bortezomib"
"529","Nuclei_AreaShape_Zernike_1_1","bortezomib"
"530","Nuclei_AreaShape_Zernike_2_0","bortezomib"
"531","Nuclei_AreaShape_Zernike_2_2","bortezomib"
"532","Nuclei_AreaShape_Zernike_3_1","bortezomib"
"533","Nuclei_AreaShape_Zernike_3_3","bortezomib"
"534","Nuclei_AreaShape_Zernike_4_0","bortezomib"
"535","Nuclei_AreaShape_Zernike_4_2","bortezomib"
"536","Nuclei_AreaShape_Zernike_4_4","bortezomib"
"537","Nuclei_AreaShape_Zernike_5_1","bortezomib"
"538","Nuclei_AreaShape_Zernike_5_3","bortezomib"
"539","Nuclei_AreaShape_Zernike_5_5","bortezomib"
"540","Nuclei_AreaShape_Zernike_6_0","bortezomib"
"541","Nuclei_AreaShape_Zernike_6_2","bortezomib"
"542","Nuclei_AreaShape_Zernike_6_4","bortezomib"
"543","Nuclei_AreaShape_Zernike_6_6","bortezomib"
"544","Nuclei_AreaShape_Zernike_7_1","bortezomib"
"545","Nuclei_AreaShape_Zernike_7_3","bortezomib"
"546","Nuclei_AreaShape_Zernike_7_5","bortezomib"
"547","Nuclei_AreaShape_Zernike_7_7","bortezomib"
"548","Nuclei_AreaShape_Zernike_8_0","bortezomib"
"549","Nuclei_AreaShape_Zernike_8_2","bortezomib"
"550","Nuclei_AreaShape_Zernike_8_4","bortezomib"
"551","Nuclei_AreaShape_Zernike_8_6","bortezomib"
"552","Nuclei_AreaShape_Zernike_8_8","bortezomib"
"553","Nuclei_AreaShape_Zernike_9_1","bortezomib"
"554","Nuclei_AreaShape_Zernike_9_3","bortezomib"
"555","Nuclei_AreaShape_Zernike_9_5","bortezomib"
"556","Nuclei_AreaShape_Zernike_9_7","bortezomib"
"557","Nuclei_AreaShape_Zernike_9_9","bortezomib"
"558","Nuclei_Correlation_Correlation_DNA_AGP","bortezomib"
"559","Nuclei_Correlation_Correlation_DNA_ER","bortezomib"
"560","Nuclei_Correlation_Correlation_DNA_Mito","bortezomib"
"561","Nuclei_Correlation_Correlation_DNA_RNA","bortezomib"
"562","Nuclei_Correlation_Correlation_ER_AGP","bortezomib"
"563","Nuclei_Correlation_Correlation_ER_RNA","bortezomib"
"564","Nuclei_Correlation_Correlation_Mito_AGP","bortezomib"
"565","Nuclei_Correlation_Correlation_Mito_ER","bortezomib"
"566","Nuclei_Correlation_Correlation_Mito_RNA","bortezomib"
"567","Nuclei_Correlation_Correlation_RNA_AGP","bortezomib"
"568","Nuclei_Correlation_K_AGP_RNA","bortezomib"
"569","Nuclei_Correlation_K_ER_DNA","bortezomib"
"570","Nuclei_Correlation_K_RNA_AGP","bortezomib"
"571","Nuclei_Correlation_K_RNA_DNA","bortezomib"
"572","Nuclei_Correlation_Overlap_DNA_AGP","bortezomib"
"573","Nuclei_Correlation_Overlap_DNA_ER","bortezomib"
"574","Nuclei_Correlation_Overlap_DNA_Mito","bortezomib"
"575","Nuclei_Correlation_Overlap_DNA_RNA","bortezomib"
"576","Nuclei_Correlation_Overlap_ER_AGP","bortezomib"
"577","Nuclei_Correlation_Overlap_ER_RNA","bortezomib"
"578","Nuclei_Correlation_Overlap_RNA_AGP","bortezomib"
"579","Nuclei_Granularity_10_AGP","bortezomib"
"580","Nuclei_Granularity_10_DNA","bortezomib"
"581","Nuclei_Granularity_10_ER","bortezomib"
"582","Nuclei_Granularity_10_Mito","bortezomib"
"583","Nuclei_Granularity_10_RNA","bortezomib"
"584","Nuclei_Granularity_11_AGP","bortezomib"
"585","Nuclei_Granularity_11_DNA","bortezomib"
"586","Nuclei_Granularity_11_ER","bortezomib"
"587","Nuclei_Granularity_11_Mito","bortezomib"
"588","Nuclei_Granularity_11_RNA","bortezomib"
"589","Nuclei_Granularity_12_AGP","bortezomib"
"590","Nuclei_Granularity_12_DNA","bortezomib"
"591","Nuclei_Granularity_12_ER","bortezomib"
"592","Nuclei_Granularity_12_Mito","bortezomib"
"593","Nuclei_Granularity_12_RNA","bortezomib"
"594","Nuclei_Granularity_13_AGP","bortezomib"
"595","Nuclei_Granularity_13_DNA","bortezomib"
"596","Nuclei_Granularity_13_ER","bortezomib"
"597","Nuclei_Granularity_13_Mito","bortezomib"
"598","Nuclei_Granularity_13_RNA","bortezomib"
"599","Nuclei_Granularity_1_AGP","bortezomib"
"600","Nuclei_Granularity_1_DNA","bortezomib"
"601","Nuclei_Granularity_1_Mito","bortezomib"
"602","Nuclei_Granularity_2_DNA","bortezomib"
"603","Nuclei_Granularity_2_RNA","bortezomib"
"604","Nuclei_Granularity_3_DNA","bortezomib"
"605","Nuclei_Granularity_3_RNA","bortezomib"
"606","Nuclei_Granularity_4_DNA","bortezomib"
"607","Nuclei_Granularity_5_DNA","bortezomib"
"608","Nuclei_Granularity_6_DNA","bortezomib"
"609","Nuclei_Granularity_7_DNA","bortezomib"
"610","Nuclei_Granularity_8_DNA","bortezomib"
"611","Nuclei_Granularity_8_Mito","bortezomib"
"612","Nuclei_Granularity_9_AGP","bortezomib"
"613","Nuclei_Granularity_9_DNA","bortezomib"
"614","Nuclei_Granularity_9_ER","bortezomib"
"615","Nuclei_Granularity_9_Mito","bortezomib"
"616","Nuclei_Intensity_IntegratedIntensityEdge_AGP","bortezomib"
"617","Nuclei_Intensity_IntegratedIntensityEdge_DNA","bortezomib"
"618","Nuclei_Intensity_IntegratedIntensityEdge_ER","bortezomib"
"619","Nuclei_Intensity_IntegratedIntensityEdge_Mito","bortezomib"
"620","Nuclei_Intensity_IntegratedIntensityEdge_RNA","bortezomib"
"621","Nuclei_Intensity_IntegratedIntensity_AGP","bortezomib"
"622","Nuclei_Intensity_IntegratedIntensity_ER","bortezomib"
"623","Nuclei_Intensity_IntegratedIntensity_Mito","bortezomib"
"624","Nuclei_Intensity_IntegratedIntensity_RNA","bortezomib"
"625","Nuclei_Intensity_LowerQuartileIntensity_DNA","bortezomib"
"626","Nuclei_Intensity_MassDisplacement_AGP","bortezomib"
"627","Nuclei_Intensity_MassDisplacement_DNA","bortezomib"
"628","Nuclei_Intensity_MassDisplacement_ER","bortezomib"
"629","Nuclei_Intensity_MassDisplacement_Mito","bortezomib"
"630","Nuclei_Intensity_MassDisplacement_RNA","bortezomib"
"631","Nuclei_Intensity_MaxIntensityEdge_DNA","bortezomib"
"632","Nuclei_Intensity_MeanIntensityEdge_AGP","bortezomib"
"633","Nuclei_Intensity_MeanIntensityEdge_DNA","bortezomib"
"634","Nuclei_Intensity_MeanIntensityEdge_ER","bortezomib"
"635","Nuclei_Intensity_MeanIntensityEdge_Mito","bortezomib"
"636","Nuclei_Intensity_MedianIntensity_DNA","bortezomib"
"637","Nuclei_Intensity_MinIntensityEdge_AGP","bortezomib"
"638","Nuclei_Intensity_MinIntensityEdge_Mito","bortezomib"
"639","Nuclei_Intensity_MinIntensityEdge_RNA","bortezomib"
"640","Nuclei_Intensity_MinIntensity_DNA","bortezomib"
"641","Nuclei_Intensity_MinIntensity_ER","bortezomib"
"642","Nuclei_Intensity_StdIntensityEdge_DNA","bortezomib"
"643","Nuclei_Neighbors_AngleBetweenNeighbors_2","bortezomib"
"644","Nuclei_Neighbors_FirstClosestDistance_2","bortezomib"
"645","Nuclei_Neighbors_PercentTouching_2","bortezomib"
"646","Nuclei_Neighbors_SecondClosestDistance_2","bortezomib"
"647","Nuclei_Neighbors_SecondClosestObjectNumber_2","bortezomib"
"648","Nuclei_RadialDistribution_FracAtD_AGP_1of4","bortezomib"
"649","Nuclei_RadialDistribution_FracAtD_AGP_3of4","bortezomib"
"650","Nuclei_RadialDistribution_FracAtD_AGP_4of4","bortezomib"
"651","Nuclei_RadialDistribution_FracAtD_DNA_1of4","bortezomib"
"652","Nuclei_RadialDistribution_FracAtD_DNA_3of4","bortezomib"
"653","Nuclei_RadialDistribution_FracAtD_DNA_4of4","bortezomib"
"654","Nuclei_RadialDistribution_FracAtD_ER_1of4","bortezomib"
"655","Nuclei_RadialDistribution_FracAtD_ER_2of4","bortezomib"
"656","Nuclei_RadialDistribution_FracAtD_ER_4of4","bortezomib"
"657","Nuclei_RadialDistribution_FracAtD_Mito_1of4","bortezomib"
"658","Nuclei_RadialDistribution_FracAtD_Mito_2of4","bortezomib"
"659","Nuclei_RadialDistribution_FracAtD_Mito_3of4","bortezomib"
"660","Nuclei_RadialDistribution_FracAtD_Mito_4of4","bortezomib"
"661","Nuclei_RadialDistribution_FracAtD_RNA_1of4","bortezomib"
"662","Nuclei_RadialDistribution_FracAtD_RNA_2of4","bortezomib"
"663","Nuclei_RadialDistribution_FracAtD_RNA_4of4","bortezomib"
"664","Nuclei_RadialDistribution_MeanFrac_AGP_1of4","bortezomib"
"665","Nuclei_RadialDistribution_MeanFrac_AGP_2of4","bortezomib"
"666","Nuclei_RadialDistribution_MeanFrac_AGP_3of4","bortezomib"
"667","Nuclei_RadialDistribution_MeanFrac_AGP_4of4","bortezomib"
"668","Nuclei_RadialDistribution_MeanFrac_DNA_1of4","bortezomib"
"669","Nuclei_RadialDistribution_MeanFrac_DNA_3of4","bortezomib"
"670","Nuclei_RadialDistribution_MeanFrac_ER_1of4","bortezomib"
"671","Nuclei_RadialDistribution_MeanFrac_ER_2of4","bortezomib"
"672","Nuclei_RadialDistribution_MeanFrac_ER_3of4","bortezomib"
"673","Nuclei_RadialDistribution_MeanFrac_ER_4of4","bortezomib"
"674","Nuclei_RadialDistribution_MeanFrac_Mito_1of4","bortezomib"
"675","Nuclei_RadialDistribution_MeanFrac_Mito_2of4","bortezomib"
"676","Nuclei_RadialDistribution_MeanFrac_Mito_4of4","bortezomib"
"677","Nuclei_RadialDistribution_MeanFrac_RNA_1of4","bortezomib"
"678","Nuclei_RadialDistribution_MeanFrac_RNA_2of4","bortezomib"
"679","Nuclei_RadialDistribution_RadialCV_AGP_1of4","bortezomib"
"680","Nuclei_RadialDistribution_RadialCV_AGP_2of4","bortezomib"
"681","Nuclei_RadialDistribution_RadialCV_AGP_3of4","bortezomib"
"682","Nuclei_RadialDistribution_RadialCV_DNA_1of4","bortezomib"
"683","Nuclei_RadialDistribution_RadialCV_DNA_2of4","bortezomib"
"684","Nuclei_RadialDistribution_RadialCV_DNA_3of4","bortezomib"
"685","Nuclei_RadialDistribution_RadialCV_DNA_4of4","bortezomib"
"686","Nuclei_RadialDistribution_RadialCV_ER_1of4","bortezomib"
"687","Nuclei_RadialDistribution_RadialCV_ER_2of4","bortezomib"
"688","Nuclei_RadialDistribution_RadialCV_ER_3of4","bortezomib"
"689","Nuclei_RadialDistribution_RadialCV_ER_4of4","bortezomib"
"690","Nuclei_RadialDistribution_RadialCV_Mito_1of4","bortezomib"
"691","Nuclei_RadialDistribution_RadialCV_Mito_2of4","bortezomib"
"692","Nuclei_RadialDistribution_RadialCV_Mito_3of4","bortezomib"
"693","Nuclei_RadialDistribution_RadialCV_Mito_4of4","bortezomib"
"694","Nuclei_RadialDistribution_RadialCV_RNA_1of4","bortezomib"
"695","Nuclei_RadialDistribution_RadialCV_RNA_2of4","bortezomib"
"696","Nuclei_RadialDistribution_RadialCV_RNA_3of4","bortezomib"
"697","Nuclei_RadialDistribution_RadialCV_RNA_4of4","bortezomib"
"698","Nuclei_Texture_AngularSecondMoment_AGP_20_01","bortezomib"
"699","Nuclei_Texture_AngularSecondMoment_DNA_20_03","bortezomib"
"700","Nuclei_Texture_AngularSecondMoment_ER_20_02","bortezomib"
"701","Nuclei_Texture_AngularSecondMoment_ER_20_03","bortezomib"
"702","Nuclei_Texture_AngularSecondMoment_Mito_20_01","bortezomib"
"703","Nuclei_Texture_AngularSecondMoment_RNA_20_03","bortezomib"
"704","Nuclei_Texture_Contrast_Mito_5_02","bortezomib"
"705","Nuclei_Texture_Correlation_AGP_10_00","bortezomib"
"706","Nuclei_Texture_Correlation_AGP_10_01","bortezomib"
"707","Nuclei_Texture_Correlation_AGP_10_02","bortezomib"
"708","Nuclei_Texture_Correlation_AGP_10_03","bortezomib"
"709","Nuclei_Texture_Correlation_AGP_20_00","bortezomib"
"710","Nuclei_Texture_Correlation_AGP_20_01","bortezomib"
"711","Nuclei_Texture_Correlation_AGP_20_02","bortezomib"
"712","Nuclei_Texture_Correlation_AGP_20_03","bortezomib"
"713","Nuclei_Texture_Correlation_AGP_5_00","bortezomib"
"714","Nuclei_Texture_Correlation_AGP_5_01","bortezomib"
"715","Nuclei_Texture_Correlation_AGP_5_02","bortezomib"
"716","Nuclei_Texture_Correlation_AGP_5_03","bortezomib"
"717","Nuclei_Texture_Correlation_DNA_10_00","bortezomib"
"718","Nuclei_Texture_Correlation_DNA_10_01","bortezomib"
"719","Nuclei_Texture_Correlation_DNA_10_02","bortezomib"
"720","Nuclei_Texture_Correlation_DNA_10_03","bortezomib"
"721","Nuclei_Texture_Correlation_DNA_20_00","bortezomib"
"722","Nuclei_Texture_Correlation_DNA_20_01","bortezomib"
"723","Nuclei_Texture_Correlation_DNA_20_02","bortezomib"
"724","Nuclei_Texture_Correlation_DNA_20_03","bortezomib"
"725","Nuclei_Texture_Correlation_DNA_5_00","bortezomib"
"726","Nuclei_Texture_Correlation_ER_10_00","bortezomib"
"727","Nuclei_Texture_Correlation_ER_10_01","bortezomib"
"728","Nuclei_Texture_Correlation_ER_10_02","bortezomib"
"729","Nuclei_Texture_Correlation_ER_10_03","bortezomib"
"730","Nuclei_Texture_Correlation_ER_20_00","bortezomib"
"731","Nuclei_Texture_Correlation_ER_20_01","bortezomib"
"732","Nuclei_Texture_Correlation_ER_20_02","bortezomib"
"733","Nuclei_Texture_Correlation_ER_20_03","bortezomib"
"734","Nuclei_Texture_Correlation_ER_5_00","bortezomib"
"735","Nuclei_Texture_Correlation_ER_5_01","bortezomib"
"736","Nuclei_Texture_Correlation_ER_5_02","bortezomib"
"737","Nuclei_Texture_Correlation_ER_5_03","bortezomib"
"738","Nuclei_Texture_Correlation_Mito_10_00","bortezomib"
"739","Nuclei_Texture_Correlation_Mito_10_01","bortezomib"
"740","Nuclei_Texture_Correlation_Mito_10_02","bortezomib"
"741","Nuclei_Texture_Correlation_Mito_10_03","bortezomib"
"742","Nuclei_Texture_Correlation_Mito_20_00","bortezomib"
"743","Nuclei_Texture_Correlation_Mito_20_01","bortezomib"
"744","Nuclei_Texture_Correlation_Mito_20_02","bortezomib"
"745","Nuclei_Texture_Correlation_Mito_20_03","bortezomib"
"746","Nuclei_Texture_Correlation_Mito_5_03","bortezomib"
"747","Nuclei_Texture_Correlation_RNA_10_00","bortezomib"
"748","Nuclei_Texture_Correlation_RNA_10_01","bortezomib"
"749","Nuclei_Texture_Correlation_RNA_10_02","bortezomib"
"750","Nuclei_Texture_Correlation_RNA_10_03","bortezomib"
"751","Nuclei_Texture_Correlation_RNA_20_00","bortezomib"
"752","Nuclei_Texture_Correlation_RNA_20_01","bortezomib"
"753","Nuclei_Texture_Correlation_RNA_20_02","bortezomib"
"754","Nuclei_Texture_Correlation_RNA_20_03","bortezomib"
"755","Nuclei_Texture_Correlation_RNA_5_00","bortezomib"
"756","Nuclei_Texture_Correlation_RNA_5_01","bortezomib"
"757","Nuclei_Texture_Correlation_RNA_5_02","bortezomib"
"758","Nuclei_Texture_Correlation_RNA_5_03","bortezomib"
"759","Nuclei_Texture_DifferenceVariance_DNA_20_03","bortezomib"
"760","Nuclei_Texture_Entropy_AGP_20_01","bortezomib"
"761","Nuclei_Texture_Entropy_DNA_20_03","bortezomib"
"762","Nuclei_Texture_Entropy_ER_20_03","bortezomib"
"763","Nuclei_Texture_Entropy_Mito_20_01","bortezomib"
"764","Nuclei_Texture_Entropy_RNA_20_03","bortezomib"
"765","Nuclei_Texture_InfoMeas1_AGP_5_00","bortezomib"
"766","Nuclei_Texture_InfoMeas1_AGP_5_01","bortezomib"
"767","Nuclei_Texture_InfoMeas1_DNA_5_02","bortezomib"
"768","Nuclei_Texture_InfoMeas1_ER_20_01","bortezomib"
"769","Nuclei_Texture_InfoMeas1_ER_5_00","bortezomib"
"770","Nuclei_Texture_InfoMeas1_Mito_5_00","bortezomib"
"771","Nuclei_Texture_InfoMeas1_RNA_5_00","bortezomib"
"772","Nuclei_Texture_InfoMeas1_RNA_5_01","bortezomib"
"773","Nuclei_Texture_InfoMeas2_AGP_5_02","bortezomib"
"774","Nuclei_Texture_InfoMeas2_DNA_5_02","bortezomib"
"775","Nuclei_Texture_InfoMeas2_ER_20_01","bortezomib"
"776","Nuclei_Texture_InfoMeas2_ER_5_00","bortezomib"
"777","Nuclei_Texture_InfoMeas2_RNA_5_00","bortezomib"
"778","Nuclei_Texture_InverseDifferenceMoment_ER_20_01","bortezomib"
"779","Nuclei_Texture_InverseDifferenceMoment_RNA_20_01","bortezomib"
"780","Nuclei_Texture_SumAverage_DNA_20_03","bortezomib"
"781","Nuclei_Texture_SumEntropy_DNA_20_03","bortezomib"
"782","Nuclei_Texture_SumVariance_RNA_20_03","bortezomib"
